MinutesPlayed,Tackles,MissedTackles,Carries,MetersGained,CleanBreaks,DefendersBeaten,Offloads,TurnoversWon,TurnoversConceded,PenaltiesConceded,Tries,Conversions,PenaltyGoals,DropGoals,YellowCards,RedCards,Points,MatchID,Team,PlayerID,PlayerName,Position
76,11,1,5,24,0,1,0,1,1,1,0,0,0,0,1,0,0,M001,Griffons,GRI_08,Griffons Player 08,Number 8
72,8,2,7,35,1,3,2,1,2,0,0,0,0,0,0,0,0,M001,Griffons,GRI_15,Griffons Player 15,Fullback
53,10,1,2,80,0,0,1,1,1,1,0,1,0,0,0,0,2,M001,Griffons,GRI_09,Griffons Player 09,Scrum-half
80,0,4,6,85,0,1,1,0,0,1,0,0,1,0,0,0,3,M001,Griffons,GRI_13,Griffons Player 13,Outside Centre
59,10,1,15,27,2,1,1,2,0,0,0,0,0,0,0,0,0,M001,Griffons,GRI_19,Griffons Player 19,Lock
65,3,3,11,21,0,0,0,2,1,1,1,0,0,0,0,0,5,M001,Griffons,GRI_23,Griffons Player 23,Number 8
67,14,3,4,21,0,0,1,1,0,3,0,0,0,0,0,0,0,M001,Griffons,GRI_03,Griffons Player 03,Tighthead Prop
64,4,1,9,0,0,1,1,2,1,0,0,0,0,0,0,0,0,M001,Griffons,GRI_21,Griffons Player 21,Blindside Flanker
76,2,2,9,30,1,6,0,0,0,0,0,0,0,0,0,0,0,M002,Stormers,STO_09,Stormers Player 09,Scrum-half
67,17,2,6,24,2,3,0,2,0,0,0,0,0,0,0,0,0,M002,Stormers,STO_05,Stormers Player 05,Lock
64,10,0,7,15,0,0,0,0,1,1,1,0,0,0,0,0,5,M002,Stormers,STO_07,Stormers Player 07,Openside Flanker
67,17,4,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,M002,Stormers,STO_11,Stormers Player 11,Left Wing
66,9,0,11,52,1,0,3,0,0,1,0,0,0,0,0,0,0,M002,Stormers,STO_04,Stormers Player 04,Lock
68,9,2,8,17,1,3,0,1,0,2,0,0,0,0,0,0,0,M002,Stormers,STO_03,Stormers Player 03,Tighthead Prop
52,7,1,9,77,1,1,1,0,1,0,1,0,0,0,0,0,5,M002,Stormers,STO_13,Stormers Player 13,Outside Centre
63,6,0,13,35,0,2,2,0,0,0,0,0,0,0,0,0,0,M002,Stormers,STO_21,Stormers Player 21,Blindside Flanker
57,4,2,9,32,0,3,3,0,0,2,1,0,0,0,0,0,5,M002,Stormers,STO_12,Stormers Player 12,Inside Centre
73,12,1,8,44,3,2,0,1,1,0,0,0,0,0,0,0,0,M002,Stormers,STO_17,Stormers Player 17,Hooker
80,2,0,6,26,1,2,0,1,0,1,0,1,1,0,0,0,5,M002,Stormers,STO_10,Stormers Player 10,Fly-half
49,19,2,7,54,1,2,0,0,0,0,0,0,0,0,0,0,0,M002,Stormers,STO_24,Stormers Player 24,Scrum-half
80,1,0,7,0,0,0,2,2,1,1,0,0,0,0,0,0,0,M002,Stormers,STO_19,Stormers Player 19,Lock
56,10,0,11,36,0,3,0,1,1,0,0,0,0,0,0,0,0,M002,Stormers,STO_01,Stormers Player 01,Loosehead Prop
77,11,0,12,7,0,0,1,0,2,0,0,1,0,0,0,0,2,M002,Stormers,STO_08,Stormers Player 08,Number 8
80,10,3,15,41,0,0,0,1,0,1,0,0,0,0,1,0,0,M002,Pumas,PUM_18,Pumas Player 18,Tighthead Prop
80,19,0,10,21,1,1,0,0,0,0,0,0,0,0,0,0,0,M002,Pumas,PUM_04,Pumas Player 04,Lock
73,17,1,7,59,2,0,1,0,0,1,1,0,0,0,0,0,5,M002,Pumas,PUM_13,Pumas Player 13,Outside Centre
52,9,2,10,0,1,0,1,0,0,2,0,0,0,0,0,0,0,M002,Pumas,PUM_03,Pumas Player 03,Tighthead Prop
69,0,1,9,58,1,2,2,0,0,1,1,1,0,0,0,0,7,M002,Pumas,PUM_25,Pumas Player 25,Fly-half
65,7,2,1,38,2,4,1,0,1,1,1,0,0,0,0,0,5,M002,Pumas,PUM_10,Pumas Player 10,Fly-half
68,4,4,11,41,1,2,0,0,0,0,0,0,1,0,0,0,3,M002,Pumas,PUM_12,Pumas Player 12,Inside Centre
66,7,4,7,54,2,0,0,0,0,1,0,0,1,0,0,0,3,M002,Pumas,PUM_07,Pumas Player 07,Openside Flanker
61,19,0,6,36,0,2,1,0,1,2,0,0,0,0,0,0,0,M002,Pumas,PUM_22,Pumas Player 22,Openside Flanker
70,13,2,15,20,0,0,0,1,2,0,1,0,0,0,0,0,5,M002,Pumas,PUM_02,Pumas Player 02,Hooker
70,10,4,8,46,2,5,2,1,1,1,0,0,0,0,0,0,0,M002,Pumas,PUM_11,Pumas Player 11,Left Wing
66,7,3,4,64,1,3,2,0,0,0,0,0,0,0,0,0,0,M002,Pumas,PUM_24,Pumas Player 24,Scrum-half
75,11,1,10,29,0,1,1,0,0,0,0,0,0,0,0,0,0,M002,Pumas,PUM_23,Pumas Player 23,Number 8
62,13,3,8,11,2,0,0,1,0,0,0,0,0,0,0,0,0,M002,Pumas,PUM_05,Pumas Player 05,Lock
75,15,1,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,M002,Pumas,PUM_16,Pumas Player 16,Loosehead Prop
73,14,2,12,29,1,0,2,0,2,1,0,0,0,0,0,0,0,M003,Sharks,SHA_08,Sharks Player 08,Number 8
53,9,0,4,44,1,1,0,1,0,0,0,0,0,0,0,0,0,M003,Sharks,SHA_04,Sharks Player 04,Lock
65,3,0,6,99,2,1,1,1,1,0,0,0,0,0,0,0,0,M003,Sharks,SHA_13,Sharks Player 13,Outside Centre
61,13,2,13,37,3,3,0,0,0,1,1,0,0,0,0,0,5,M003,Sharks,SHA_09,Sharks Player 09,Scrum-half
80,9,2,7,70,0,2,0,0,1,0,0,1,1,0,0,0,5,M003,Sharks,SHA_15,Sharks Player 15,Fullback
80,0,1,9,59,2,0,2,1,0,0,1,0,0,0,0,0,5,M003,Sharks,SHA_12,Sharks Player 12,Inside Centre
51,11,1,12,0,0,0,1,1,0,2,0,0,0,0,0,0,0,M003,Sharks,SHA_06,Sharks Player 06,Blindside Flanker
55,1,1,8,55,1,0,0,1,1,2,0,0,0,0,0,0,0,M003,Sharks,SHA_20,Sharks Player 20,Lock
64,9,1,6,21,0,0,1,0,0,1,1,0,0,0,0,0,5,M003,Sharks,SHA_18,Sharks Player 18,Tighthead Prop
72,7,2,9,8,1,0,1,0,0,3,0,0,0,0,0,0,0,M003,Sharks,SHA_07,Sharks Player 07,Openside Flanker
57,10,0,11,35,1,5,0,0,1,1,0,0,0,0,0,0,0,M003,Sharks,SHA_11,Sharks Player 11,Left Wing
71,18,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,M003,Sharks,SHA_05,Sharks Player 05,Lock
45,8,1,12,13,0,0,0,2,0,3,0,0,0,0,1,0,0,M003,Sharks,SHA_17,Sharks Player 17,Hooker
75,10,2,8,38,0,0,0,0,1,0,0,0,0,0,0,0,0,M003,Sharks,SHA_21,Sharks Player 21,Blindside Flanker
66,11,0,10,71,0,1,0,2,0,0,0,1,0,0,0,0,2,M003,Sharks,SHA_23,Sharks Player 23,Number 8
68,4,4,5,7,0,2,0,2,0,1,0,0,0,0,0,0,0,M003,Griquas,GRI_03,Griquas Player 03,Tighthead Prop
66,11,1,8,49,2,0,0,1,2,0,0,0,0,1,0,0,3,M003,Griquas,GRI_20,Griquas Player 20,Lock
80,3,2,5,7,0,0,0,1,0,1,0,0,0,0,0,0,0,M003,Griquas,GRI_21,Griquas Player 21,Blindside Flanker
74,21,1,14,27,0,0,1,0,0,2,0,0,0,0,0,0,0,M003,Griquas,GRI_06,Griquas Player 06,Blindside Flanker
64,12,2,9,55,0,1,0,1,1,1,0,0,0,0,0,0,0,M003,Griquas,GRI_18,Griquas Player 18,Tighthead Prop
68,15,0,4,78,0,2,0,1,0,0,1,0,0,0,0,0,5,M003,Griquas,GRI_08,Griquas Player 08,Number 8
72,14,2,7,19,0,0,0,2,0,1,0,0,0,0,0,0,0,M003,Griquas,GRI_22,Griquas Player 22,Openside Flanker
61,9,0,7,45,0,4,1,0,0,0,0,0,0,0,0,0,0,M003,Griquas,GRI_15,Griquas Player 15,Fullback
70,5,4,7,46,0,2,0,0,0,0,1,0,0,0,0,0,5,M003,Griquas,GRI_13,Griquas Player 13,Outside Centre
54,5,0,1,68,2,1,0,0,0,0,0,0,1,0,0,0,3,M003,Griquas,GRI_09,Griquas Player 09,Scrum-half
69,2,4,5,23,1,0,0,0,0,0,0,0,1,0,0,0,3,M003,Griquas,GRI_23,Griquas Player 23,Number 8
74,4,5,5,73,1,5,2,0,0,1,0,0,0,0,0,0,0,M003,Griquas,GRI_11,Griquas Player 11,Left Wing
61,0,0,10,38,0,4,2,1,1,0,0,0,0,0,0,0,0,M003,Griquas,GRI_12,Griquas Player 12,Inside Centre
72,22,0,11,26,0,4,1,1,1,0,1,0,0,0,0,0,5,M003,Griquas,GRI_16,Griquas Player 16,Loosehead Prop
59,10,1,9,45,1,0,0,1,0,2,0,0,0,0,0,0,0,M003,Griquas,GRI_04,Griquas Player 04,Lock
62,9,3,7,62,3,3,3,1,0,1,0,0,0,0,1,0,0,M004,Lions,LIO_11,Lions Player 11,Left Wing
71,10,0,7,39,2,1,0,1,1,0,0,0,0,0,0,0,0,M004,Lions,LIO_02,Lions Player 02,Hooker
66,14,0,7,43,0,4,0,1,1,0,0,0,0,0,0,0,0,M004,Lions,LIO_08,Lions Player 08,Number 8
50,4,5,5,59,3,7,3,1,1,1,0,0,0,0,0,0,0,M004,Lions,LIO_24,Lions Player 24,Scrum-half
74,11,2,11,26,1,1,0,0,0,2,2,0,0,0,0,0,10,M004,Lions,LIO_25,Lions Player 25,Fly-half
74,12,1,10,6,0,3,0,0,0,1,0,0,0,0,0,0,0,M004,Lions,LIO_13,Lions Player 13,Outside Centre
64,9,1,11,27,1,3,0,0,0,1,0,0,0,0,0,0,0,M004,Lions,LIO_09,Lions Player 09,Scrum-half
75,7,0,10,19,0,0,0,2,0,1,0,1,0,0,0,0,2,M004,Lions,LIO_03,Lions Player 03,Tighthead Prop
68,14,0,7,44,0,1,0,1,0,0,0,0,0,0,0,0,0,M004,Lions,LIO_07,Lions Player 07,Openside Flanker
79,6,1,10,42,0,0,0,1,0,0,0,1,0,0,0,0,2,M004,Lions,LIO_21,Lions Player 21,Blindside Flanker
60,12,3,9,8,0,0,1,0,0,2,0,0,0,0,0,0,0,M004,Lions,LIO_04,Lions Player 04,Lock
60,13,1,8,6,0,2,0,1,1,1,0,0,1,0,0,0,3,M004,Lions,LIO_16,Lions Player 16,Loosehead Prop
80,17,0,12,26,1,1,0,0,1,0,0,0,0,0,0,0,0,M004,Lions,LIO_23,Lions Player 23,Number 8
63,12,3,8,36,0,1,0,2,1,3,0,0,0,0,0,0,0,M004,Lions,LIO_17,Lions Player 17,Hooker
69,13,0,10,87,1,0,0,1,0,0,0,0,0,0,0,0,0,M004,Lions,LIO_14,Lions Player 14,Right Wing
62,15,1,10,93,2,2,1,0,0,1,0,1,0,0,0,0,2,M004,Cheetahs,CHE_15,Cheetahs Player 15,Fullback
76,5,1,14,0,0,2,0,1,0,1,0,1,0,0,0,0,2,M004,Cheetahs,CHE_05,Cheetahs Player 05,Lock
79,7,3,7,53,1,1,0,1,0,1,1,0,0,0,0,0,5,M004,Cheetahs,CHE_09,Cheetahs Player 09,Scrum-half
76,4,2,5,63,0,1,1,0,0,0,0,0,0,0,0,0,0,M004,Cheetahs,CHE_24,Cheetahs Player 24,Scrum-half
75,16,1,11,8,0,0,0,1,0,2,0,0,0,0,0,0,0,M004,Cheetahs,CHE_08,Cheetahs Player 08,Number 8
74,25,0,6,61,0,2,1,3,0,2,0,0,0,0,0,0,0,M004,Cheetahs,CHE_18,Cheetahs Player 18,Tighthead Prop
80,14,1,13,40,2,1,0,1,0,0,0,0,0,0,0,0,0,M004,Cheetahs,CHE_20,Cheetahs Player 20,Lock
72,5,0,6,19,0,3,0,1,2,1,0,0,0,0,0,0,0,M004,Cheetahs,CHE_23,Cheetahs Player 23,Number 8
66,6,3,5,38,0,0,2,0,1,2,0,0,1,0,0,0,3,M004,Cheetahs,CHE_14,Cheetahs Player 14,Right Wing
80,11,1,4,1,0,2,0,0,0,0,1,0,0,0,0,0,5,M004,Cheetahs,CHE_13,Cheetahs Player 13,Outside Centre
61,15,1,11,32,0,1,0,1,0,0,0,0,0,0,0,0,0,M004,Cheetahs,CHE_06,Cheetahs Player 06,Blindside Flanker
80,7,2,10,8,2,0,1,2,0,2,0,0,0,0,0,0,0,M004,Cheetahs,CHE_04,Cheetahs Player 04,Lock
65,18,0,12,53,0,0,0,0,0,1,0,0,0,0,0,0,0,M004,Cheetahs,CHE_03,Cheetahs Player 03,Tighthead Prop
51,7,2,13,0,0,0,1,0,0,0,0,1,0,0,0,0,2,M004,Cheetahs,CHE_19,Cheetahs Player 19,Lock
67,2,0,8,30,0,2,0,0,1,0,0,0,0,0,0,0,0,M004,Cheetahs,CHE_21,Cheetahs Player 21,Blindside Flanker
55,2,2,8,79,0,2,0,0,2,1,0,0,0,0,0,0,0,M005,Pumas,PUM_25,Pumas Player 25,Fly-half
76,13,2,12,27,0,0,1,0,1,0,1,0,0,0,0,0,5,M005,Pumas,PUM_02,Pumas Player 02,Hooker
50,18,0,7,10,1,0,3,2,0,1,0,0,0,0,0,0,0,M005,Pumas,PUM_04,Pumas Player 04,Lock
70,11,3,10,0,1,1,0,0,1,2,0,0,0,0,0,0,0,M005,Pumas,PUM_05,Pumas Player 05,Lock
77,14,2,10,8,0,2,1,2,1,1,0,0,0,0,0,0,0,M005,Pumas,PUM_21,Pumas Player 21,Blindside Flanker
78,8,1,3,30,0,0,1,2,0,0,0,0,0,0,0,0,0,M005,Pumas,PUM_06,Pumas Player 06,Blindside Flanker
65,0,2,3,56,1,5,0,0,0,2,0,0,0,0,0,0,0,M005,Pumas,PUM_14,Pumas Player 14,Right Wing
80,17,5,10,12,0,0,0,0,0,1,0,0,0,0,0,0,0,M005,Pumas,PUM_03,Pumas Player 03,Tighthead Prop
64,7,3,4,38,1,0,0,0,1,1,0,1,1,0,0,0,5,M005,Pumas,PUM_13,Pumas Player 13,Outside Centre
69,19,2,11,55,0,1,0,0,1,2,0,0,1,0,0,0,3,M005,Pumas,PUM_17,Pumas Player 17,Hooker
53,0,3,6,45,1,2,3,0,0,1,0,2,1,0,0,0,7,M005,Pumas,PUM_10,Pumas Player 10,Fly-half
80,7,0,3,27,0,0,0,0,1,0,0,0,0,0,0,0,0,M005,Pumas,PUM_08,Pumas Player 08,Number 8
78,3,2,11,49,1,4,0,0,0,1,1,0,0,0,0,0,5,M005,Pumas,PUM_09,Pumas Player 09,Scrum-half
54,0,0,7,20,0,0,2,1,0,1,1,1,1,0,0,0,10,M005,Pumas,PUM_22,Pumas Player 22,Openside Flanker
61,9,2,6,34,1,1,0,0,1,0,0,1,0,0,0,0,2,M005,Pumas,PUM_16,Pumas Player 16,Loosehead Prop
76,7,4,4,29,2,1,0,0,0,2,0,0,0,0,0,0,0,M005,Bulls,BUL_01,Bulls Player 01,Loosehead Prop
63,14,0,10,75,0,1,0,1,0,0,0,0,0,0,0,0,0,M005,Bulls,BUL_22,Bulls Player 22,Openside Flanker
72,19,2,8,24,0,2,1,0,0,1,0,0,0,0,0,0,0,M005,Bulls,BUL_04,Bulls Player 04,Lock
75,6,1,10,90,0,0,2,0,1,0,0,0,0,0,0,0,0,M005,Bulls,BUL_24,Bulls Player 24,Scrum-half
76,9,2,9,39,2,0,2,1,0,0,1,1,0,0,0,0,7,M005,Bulls,BUL_18,Bulls Player 18,Tighthead Prop
72,0,1,3,45,1,3,1,1,0,0,0,0,0,0,0,0,0,M005,Bulls,BUL_09,Bulls Player 09,Scrum-half
77,4,0,9,0,0,0,0,0,1,1,1,0,0,0,0,0,5,M005,Bulls,BUL_11,Bulls Player 11,Left Wing
63,6,3,3,10,0,4,1,1,0,1,0,0,0,0,0,0,0,M005,Bulls,BUL_23,Bulls Player 23,Number 8
69,7,0,0,58,2,4,2,0,1,1,1,1,0,0,0,0,7,M005,Bulls,BUL_10,Bulls Player 10,Fly-half
78,11,2,7,0,1,3,0,0,1,0,0,0,0,0,0,0,0,M005,Bulls,BUL_14,Bulls Player 14,Right Wing
72,21,1,8,31,0,3,0,0,0,0,1,0,0,0,0,0,5,M005,Bulls,BUL_03,Bulls Player 03,Tighthead Prop
68,8,0,5,56,0,3,0,0,0,0,0,0,0,0,0,0,0,M005,Bulls,BUL_08,Bulls Player 08,Number 8
77,13,3,3,68,3,2,0,0,0,0,2,1,1,0,0,0,15,M005,Bulls,BUL_25,Bulls Player 25,Fly-half
49,2,0,5,52,0,1,0,0,0,0,0,1,0,0,0,0,2,M005,Bulls,BUL_12,Bulls Player 12,Inside Centre
69,17,3,4,48,1,0,0,1,1,1,0,0,0,0,0,0,0,M005,Bulls,BUL_05,Bulls Player 05,Lock
64,9,0,6,62,1,0,0,2,0,0,0,0,0,0,0,0,0,M006,Griquas,GRI_25,Griquas Player 25,Fly-half
67,8,0,6,4,0,0,1,2,0,1,1,0,0,0,0,0,5,M006,Griquas,GRI_06,Griquas Player 06,Blindside Flanker
72,5,2,11,5,0,2,0,2,2,0,1,0,0,0,0,0,5,M006,Griquas,GRI_17,Griquas Player 17,Hooker
54,8,4,14,5,0,2,0,1,0,0,0,0,0,0,0,0,0,M006,Griquas,GRI_04,Griquas Player 04,Lock
55,16,1,8,44,0,2,1,0,0,0,0,0,0,0,0,0,0,M006,Griquas,GRI_21,Griquas Player 21,Blindside Flanker
59,9,1,6,63,1,0,0,0,0,3,0,0,1,0,0,0,3,M006,Griquas,GRI_10,Griquas Player 10,Fly-half
72,7,2,6,14,0,2,1,0,0,0,0,0,0,0,0,0,0,M006,Griquas,GRI_23,Griquas Player 23,Number 8
55,5,0,12,77,0,0,2,1,0,1,0,0,0,0,0,0,0,M006,Griquas,GRI_07,Griquas Player 07,Openside Flanker
58,13,0,7,0,1,2,0,1,0,0,0,0,0,0,0,0,0,M006,Griquas,GRI_05,Griquas Player 05,Lock
67,8,4,8,64,1,5,2,0,0,0,1,0,0,0,0,0,5,M006,Griquas,GRI_12,Griquas Player 12,Inside Centre
67,7,3,0,39,1,5,0,0,1,0,0,0,0,0,0,0,0,M006,Griquas,GRI_13,Griquas Player 13,Outside Centre
56,15,0,8,24,1,2,0,1,0,2,0,0,0,0,0,0,0,M006,Griquas,GRI_03,Griquas Player 03,Tighthead Prop
80,10,1,5,62,1,3,1,2,1,0,0,0,0,0,0,0,0,M006,Griquas,GRI_09,Griquas Player 09,Scrum-half
77,1,0,5,19,1,4,0,2,1,1,1,1,2,0,0,0,13,M006,Griquas,GRI_15,Griquas Player 15,Fullback
72,5,2,5,38,1,0,1,1,0,0,0,0,0,0,0,0,0,M006,Griquas,GRI_01,Griquas Player 01,Loosehead Prop
48,12,1,11,17,0,2,1,1,0,0,0,0,1,0,0,0,3,M006,Griffons,GRI_20,Griffons Player 20,Lock
67,4,3,5,9,2,0,1,1,1,1,0,0,0,0,0,0,0,M006,Griffons,GRI_11,Griffons Player 11,Left Wing
80,20,0,4,11,1,1,0,1,0,1,2,1,0,0,0,0,12,M006,Griffons,GRI_16,Griffons Player 16,Loosehead Prop
80,9,0,13,74,0,3,2,0,0,2,0,0,0,0,0,0,0,M006,Griffons,GRI_01,Griffons Player 01,Loosehead Prop
80,19,2,10,36,0,2,0,0,0,0,0,1,0,0,0,0,2,M006,Griffons,GRI_04,Griffons Player 04,Lock
59,6,3,7,63,2,3,0,0,0,0,1,1,0,0,0,0,7,M006,Griffons,GRI_12,Griffons Player 12,Inside Centre
77,4,1,6,36,1,0,0,0,0,0,1,1,0,0,0,0,7,M006,Griffons,GRI_10,Griffons Player 10,Fly-half
63,10,0,5,13,0,2,0,0,0,1,0,0,0,0,0,0,0,M006,Griffons,GRI_08,Griffons Player 08,Number 8
59,13,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M006,Griffons,GRI_02,Griffons Player 02,Hooker
71,2,1,11,23,0,0,2,2,0,2,0,0,0,0,0,0,0,M006,Griffons,GRI_18,Griffons Player 18,Tighthead Prop
64,16,4,13,51,1,0,2,0,0,0,0,0,0,0,0,0,0,M006,Griffons,GRI_15,Griffons Player 15,Fullback
68,14,0,6,11,1,1,0,1,0,1,0,0,0,0,0,1,0,M006,Griffons,GRI_19,Griffons Player 19,Lock
58,13,2,13,42,0,0,0,0,1,1,0,0,0,0,0,0,0,M006,Griffons,GRI_17,Griffons Player 17,Hooker
80,5,1,3,103,0,5,0,0,0,3,1,0,0,0,1,0,5,M006,Griffons,GRI_13,Griffons Player 13,Outside Centre
70,17,1,4,17,0,0,0,0,1,0,0,0,0,0,0,0,0,M006,Griffons,GRI_23,Griffons Player 23,Number 8
61,11,3,9,7,0,2,0,1,0,0,1,1,0,0,0,0,7,M007,Cheetahs,CHE_03,Cheetahs Player 03,Tighthead Prop
79,16,3,7,19,0,0,1,0,1,1,0,0,0,0,0,0,0,M007,Cheetahs,CHE_18,Cheetahs Player 18,Tighthead Prop
68,0,1,4,55,1,1,2,0,1,2,1,1,0,0,0,0,7,M007,Cheetahs,CHE_05,Cheetahs Player 05,Lock
65,7,0,9,67,0,0,1,0,0,0,0,0,0,0,0,0,0,M007,Cheetahs,CHE_23,Cheetahs Player 23,Number 8
80,16,1,11,36,1,1,0,0,0,1,0,0,0,0,0,0,0,M007,Cheetahs,CHE_16,Cheetahs Player 16,Loosehead Prop
61,0,2,6,66,1,2,1,0,0,0,0,0,0,0,0,0,0,M007,Cheetahs,CHE_24,Cheetahs Player 24,Scrum-half
46,10,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,M007,Cheetahs,CHE_06,Cheetahs Player 06,Blindside Flanker
54,8,4,6,42,0,2,1,0,1,1,0,0,0,0,0,0,0,M007,Cheetahs,CHE_09,Cheetahs Player 09,Scrum-half
65,8,0,12,35,0,0,2,0,0,0,0,0,0,0,0,0,0,M007,Cheetahs,CHE_17,Cheetahs Player 17,Hooker
50,1,1,7,80,1,0,1,0,1,2,0,0,0,0,0,0,0,M007,Cheetahs,CHE_14,Cheetahs Player 14,Right Wing
65,13,1,12,19,1,2,0,1,0,3,0,0,0,0,0,1,0,M007,Cheetahs,CHE_04,Cheetahs Player 04,Lock
41,19,0,12,0,1,0,0,0,1,2,0,1,0,0,0,0,2,M007,Cheetahs,CHE_20,Cheetahs Player 20,Lock
56,5,1,3,64,1,2,0,1,1,0,0,0,1,0,0,0,3,M007,Cheetahs,CHE_13,Cheetahs Player 13,Outside Centre
61,4,1,7,42,1,2,1,0,0,1,0,0,0,0,0,0,0,M007,Cheetahs,CHE_12,Cheetahs Player 12,Inside Centre
57,11,1,9,39,1,5,0,0,1,1,1,1,1,0,0,0,10,M007,Cheetahs,CHE_15,Cheetahs Player 15,Fullback
62,0,0,5,0,0,1,2,1,0,1,0,0,0,0,0,0,0,M007,Stormers,STO_23,Stormers Player 23,Number 8
67,4,0,8,22,2,0,0,0,0,1,0,0,0,0,0,0,0,M007,Stormers,STO_10,Stormers Player 10,Fly-half
73,5,1,8,82,2,3,0,0,0,2,0,0,0,0,0,0,0,M007,Stormers,STO_13,Stormers Player 13,Outside Centre
77,14,3,9,41,0,2,0,0,1,2,0,0,0,0,0,0,0,M007,Stormers,STO_22,Stormers Player 22,Openside Flanker
80,15,0,10,0,0,2,1,1,0,0,1,0,0,0,0,0,5,M007,Stormers,STO_21,Stormers Player 21,Blindside Flanker
68,5,4,0,41,0,3,1,2,2,0,0,0,0,0,0,0,0,M007,Stormers,STO_12,Stormers Player 12,Inside Centre
68,2,3,12,61,1,3,2,1,0,1,0,0,1,0,1,0,3,M007,Stormers,STO_15,Stormers Player 15,Fullback
79,5,0,11,5,0,4,0,0,0,0,0,0,0,0,0,0,0,M007,Stormers,STO_17,Stormers Player 17,Hooker
60,12,0,13,0,0,0,0,0,0,1,0,0,1,0,0,0,3,M007,Stormers,STO_19,Stormers Player 19,Lock
80,7,0,12,33,0,1,0,2,1,1,0,0,0,0,1,0,0,M007,Stormers,STO_04,Stormers Player 04,Lock
71,22,0,7,35,0,0,1,3,0,0,0,0,0,0,0,0,0,M007,Stormers,STO_16,Stormers Player 16,Loosehead Prop
57,16,2,4,64,1,3,0,0,0,1,0,1,0,0,0,0,2,M007,Stormers,STO_18,Stormers Player 18,Tighthead Prop
80,18,0,13,10,0,0,1,0,0,1,0,0,0,0,0,0,0,M007,Stormers,STO_02,Stormers Player 02,Hooker
